step_lo,step_hi,predictions,sanity,win_pq,miss_mixed,miss_allpq,miss_low,miss_rnd
0,30,580000,1.000000,0.759397,0.498976,0.664691,0.172000,0.176031
30,60,600000,1.000000,0.429400,0.450745,0.894653,0.142353,0.146245
60,90,600000,1.000000,0.349983,0.425267,0.938935,0.130088,0.137467
90,120,600000,1.000000,0.309112,0.412565,0.955833,0.124932,0.133333
120,150,600000,1.000000,0.280275,0.401872,0.964455,0.119547,0.128870
150,180,600000,1.000000,0.260872,0.395745,0.969262,0.116957,0.126830
180,210,533590,1.000000,0.256598,0.395493,0.970772,0.113572,0.126897
210,240,18379,1.000000,0.427771,0.468089,0.954949,0.070298,0.149954
240,270,1597,1.000000,0.351284,0.416406,0.960551,0.030056,0.139637
270,300,581,1.000000,0.332186,0.454389,0.970740,0.022375,0.160069
300,-1,332,1.000000,0.349398,0.418675,0.960843,0.033133,0.114458
