step_lo,step_hi,rank,count
0,30,1,237655
0,30,2,95534
0,30,3,52873
0,30,4,32477
0,30,5,21623
0,30,6,15819
0,30,7,12086
0,30,8,9642
0,30,9,8323
0,30,10,6936
0,30,11,6074
0,30,12,5346
0,30,13,4748
0,30,14,4123
0,30,15,3824
0,30,16,3375
0,30,17,58230
0,30,18,1312
30,60,1,239301
30,60,2,111376
30,60,3,56375
30,60,4,28666
30,60,5,14648
30,60,6,8606
30,60,7,5888
30,60,8,4336
30,60,9,3681
30,60,10,3244
30,60,11,3017
30,60,12,2921
30,60,13,2721
30,60,14,2574
30,60,15,2436
30,60,16,2310
30,60,17,95680
30,60,18,12220
60,90,1,253570
60,90,2,122173
60,90,3,60802
60,90,4,27980
60,90,5,13324
60,90,6,6618
60,90,7,3657
60,90,8,2454
60,90,9,1796
60,90,10,1581
60,90,11,1457
60,90,12,1336
60,90,13,1272
60,90,14,1223
60,90,15,1226
60,90,16,1146
60,90,17,68009
60,90,18,30376
90,120,1,259589
90,120,2,127995
90,120,3,63446
90,120,4,28524
90,120,5,12884
90,120,6,6090
90,120,7,2995
90,120,8,1818
90,120,9,1309
90,120,10,984
90,120,11,897
90,120,12,828
90,120,13,807
90,120,14,761
90,120,15,702
90,120,16,732
90,120,17,42749
90,120,18,46890
120,150,1,264394
120,150,2,133352
120,150,3,64152
120,150,4,28310
120,150,5,12479
120,150,6,5695
120,150,7,2716
120,150,8,1569
120,150,9,1005
120,150,10,814
120,150,11,632
120,150,12,554
120,150,13,512
120,150,14,535
120,150,15,520
120,150,16,488
120,150,17,23221
120,150,18,59052
150,180,1,266934
150,180,2,136257
150,180,3,65510
150,180,4,28477
150,180,5,12035
150,180,6,5331
150,180,7,2437
150,180,8,1330
150,180,9,848
150,180,10,634
150,180,11,525
150,180,12,471
150,180,13,453
150,180,14,421
150,180,15,373
150,180,16,394
150,180,17,9844
150,180,18,67726
180,210,1,237774
180,210,2,122333
180,210,3,58952
180,210,4,24994
180,210,5,10521
180,210,6,4447
180,210,7,2109
180,210,8,1094
180,210,9,668
180,210,10,415
180,210,11,305
180,210,12,273
180,210,13,247
180,210,14,179
180,210,15,145
180,210,16,178
180,210,17,1021
180,210,18,67935
210,240,1,7026
210,240,2,3674
210,240,3,1785
210,240,4,861
210,240,5,353
210,240,6,135
210,240,7,63
210,240,8,40
210,240,9,22
210,240,10,17
210,240,11,12
210,240,12,4
210,240,13,7
210,240,14,7
210,240,15,3
210,240,16,6
210,240,17,83
210,240,18,4281
240,270,1,694
240,270,2,307
240,270,3,161
240,270,4,70
240,270,5,32
240,270,6,12
240,270,7,7
240,270,9,8
240,270,10,5
240,270,12,3
240,270,13,3
240,270,14,2
240,270,15,1
240,270,17,21
240,270,18,271
270,300,1,199
270,300,2,150
270,300,3,73
270,300,4,26
270,300,5,4
270,300,6,9
270,300,7,4
270,300,12,1
270,300,13,1
270,300,15,2
270,300,17,10
270,300,18,102
300,-1,1,127
300,-1,2,90
300,-1,3,46
300,-1,4,5
300,-1,5,5
300,-1,6,3
300,-1,17,2
300,-1,18,54
