step_lo,step_hi,predictions,sanity,win_pq,miss_mixed,miss_allpq,miss_low,miss_rnd
0,30,580000,1.000000,0.569424,0.325591,0.664683,0.106072,0.101886
30,60,600000,1.000000,0.319215,0.257397,0.894615,0.074828,0.072277
60,90,600000,1.000000,0.271820,0.238708,0.938870,0.066340,0.066668
90,120,600000,1.000000,0.246485,0.228285,0.955762,0.063037,0.063857
120,150,600000,1.000000,0.226910,0.218557,0.964348,0.059048,0.060932
150,180,600000,1.000000,0.214550,0.214022,0.969138,0.057192,0.059978
180,210,533590,1.000000,0.210849,0.212725,0.970642,0.055275,0.059611
210,240,18379,1.000000,0.318516,0.262800,0.954568,0.033299,0.072039
240,270,1597,1.000000,0.274264,0.234815,0.960551,0.013150,0.066374
270,300,581,1.000000,0.270224,0.259897,0.970740,0.013769,0.079174
300,-1,332,1.000000,0.280120,0.243976,0.960843,0.009036,0.063253
