step_lo,step_hi,rank,count
0,30,1,266958
0,30,2,98474
0,30,3,48936
0,30,4,28035
0,30,5,18225
0,30,6,12938
0,30,7,10163
0,30,8,8117
0,30,9,6936
0,30,10,5968
0,30,11,5189
0,30,12,4489
0,30,13,4188
0,30,14,3415
0,30,15,3198
0,30,16,2925
0,30,17,50635
0,30,18,1211
30,60,1,292707
30,60,2,109651
30,60,3,43394
30,60,4,18234
30,60,5,8867
30,60,6,5294
30,60,7,4011
30,60,8,3211
30,60,9,2844
30,60,10,2732
30,60,11,2592
30,60,12,2420
30,60,13,2340
30,60,14,2246
30,60,15,2118
30,60,16,2071
30,60,17,84223
30,60,18,11045
60,90,1,308200
60,90,2,116760
60,90,3,44679
60,90,4,16652
60,90,5,6707
60,90,6,3413
60,90,7,2141
60,90,8,1618
60,90,9,1354
60,90,10,1285
60,90,11,1220
60,90,12,1152
60,90,13,1158
60,90,14,1120
60,90,15,1101
60,90,16,1063
60,90,17,62436
60,90,18,27941
90,120,1,315319
90,120,2,121331
90,120,3,45414
90,120,4,16411
90,120,5,6267
90,120,6,2703
90,120,7,1523
90,120,8,1117
90,120,9,904
90,120,10,784
90,120,11,730
90,120,12,684
90,120,13,724
90,120,14,710
90,120,15,669
90,120,16,683
90,120,17,40050
90,120,18,43977
120,150,1,321347
120,150,2,124891
120,150,3,45361
120,150,4,15888
120,150,5,5916
120,150,6,2416
120,150,7,1215
120,150,8,860
120,150,9,655
120,150,10,593
120,150,11,510
120,150,12,471
120,150,13,455
120,150,14,494
120,150,15,487
120,150,16,467
120,150,17,21971
120,150,18,56003
150,180,1,324611
150,180,2,127201
150,180,3,45886
150,180,4,15619
150,180,5,5432
150,180,6,2234
150,180,7,1047
150,180,8,655
150,180,9,537
150,180,10,437
150,180,11,439
150,180,12,378
150,180,13,393
150,180,14,384
150,180,15,374
150,180,16,377
150,180,17,9259
150,180,18,64737
180,210,1,288911
180,210,2,114293
180,210,3,41026
180,210,4,13601
180,210,5,4767
180,210,6,1827
180,210,7,853
180,210,8,506
180,210,9,322
180,210,10,263
180,210,11,212
180,210,12,217
180,210,13,161
180,210,14,154
180,210,15,154
180,210,16,133
180,210,17,901
180,210,18,65289
210,240,1,8639
210,240,2,3606
210,240,3,1323
210,240,4,475
210,240,5,163
210,240,6,65
210,240,7,28
210,240,8,20
210,240,9,9
210,240,10,14
210,240,11,11
210,240,12,3
210,240,13,8
210,240,14,5
210,240,15,3
210,240,16,4
210,240,17,74
210,240,18,3929
240,270,1,836
240,270,2,283
240,270,3,120
240,270,4,35
240,270,5,17
240,270,6,8
240,270,7,3
240,270,8,2
240,270,9,6
240,270,10,5
240,270,11,2
240,270,13,2
240,270,14,2
240,270,15,1
240,270,17,18
240,270,18,257
270,300,1,275
270,300,2,124
270,300,3,49
270,300,4,16
270,300,5,5
270,300,6,3
270,300,7,2
270,300,12,3
270,300,15,1
270,300,17,8
270,300,18,95
300,-1,1,168
300,-1,2,83
300,-1,3,22
300,-1,4,3
300,-1,5,3
300,-1,7,1
300,-1,17,2
300,-1,18,50
