step_lo,step_hi,rank,count
0,30,1,391158
0,30,2,73013
0,30,3,26240
0,30,4,13978
0,30,5,9439
0,30,6,6852
0,30,7,5441
0,30,8,4466
0,30,9,3784
0,30,10,3193
0,30,11,2829
0,30,12,2474
0,30,13,2100
0,30,14,1915
0,30,15,1709
0,30,16,1581
0,30,17,29027
0,30,18,801
30,60,1,445563
30,60,2,57782
30,60,3,11355
30,60,4,4204
30,60,5,2765
30,60,6,2227
30,60,7,2009
30,60,8,1823
30,60,9,1692
30,60,10,1654
30,60,11,1583
30,60,12,1459
30,60,13,1478
30,60,14,1416
30,60,15,1370
30,60,16,1326
30,60,17,52974
30,60,18,7320
60,90,1,456776
60,90,2,57633
60,90,3,9866
60,90,4,2562
60,90,5,1417
60,90,6,1094
60,90,7,957
60,90,8,911
60,90,9,860
60,90,10,860
60,90,11,835
60,90,12,797
60,90,13,801
60,90,14,795
60,90,15,770
60,90,16,785
60,90,17,43061
60,90,18,19220
90,120,1,463033
90,120,2,57991
90,120,3,9024
90,120,4,2139
90,120,5,962
90,120,6,700
90,120,7,644
90,120,8,577
90,120,9,557
90,120,10,521
90,120,11,518
90,120,12,520
90,120,13,534
90,120,14,509
90,120,15,512
90,120,16,466
90,120,17,29098
90,120,18,31695
120,150,1,468867
120,150,2,57877
120,150,3,8611
120,150,4,1824
120,150,5,741
120,150,6,474
120,150,7,412
120,150,8,381
120,150,9,403
120,150,10,372
120,150,11,372
120,150,12,350
120,150,13,350
120,150,14,355
120,150,15,389
120,150,16,360
120,150,17,16405
120,150,18,41457
150,180,1,471587
150,180,2,58109
150,180,3,8313
150,180,4,1680
150,180,5,619
150,180,6,358
150,180,7,317
150,180,8,328
150,180,9,283
150,180,10,285
150,180,11,307
150,180,12,242
150,180,13,329
150,180,14,292
150,180,15,283
150,180,16,274
150,180,17,7032
150,180,18,49362
180,210,1,420088
180,210,2,51833
180,210,3,7418
180,210,4,1350
180,210,5,463
180,210,6,259
180,210,7,211
180,210,8,186
180,210,9,156
180,210,10,149
180,210,11,141
180,210,12,152
180,210,13,122
180,210,14,118
180,210,15,102
180,210,16,102
180,210,17,642
180,210,18,50098
210,240,1,13549
210,240,2,1799
210,240,3,273
210,240,4,64
210,240,5,20
210,240,6,17
210,240,7,8
210,240,8,7
210,240,9,3
210,240,10,11
210,240,11,4
210,240,13,6
210,240,14,1
210,240,15,1
210,240,17,48
210,240,18,2568
240,270,1,1222
240,270,2,137
240,270,3,23
240,270,4,7
240,270,5,3
240,270,6,2
240,270,8,1
240,270,9,1
240,270,10,2
240,270,11,1
240,270,12,1
240,270,13,1
240,270,14,2
240,270,15,1
240,270,17,14
240,270,18,179
270,300,1,430
270,300,2,56
270,300,3,9
270,300,4,5
270,300,5,1
270,300,6,2
270,300,15,1
270,300,17,8
270,300,18,69
300,-1,1,251
300,-1,2,38
300,-1,3,3
300,-1,4,1
300,-1,5,1
300,-1,17,1
300,-1,18,37
