step_lo,step_hi,predictions,sanity,win_pq,miss_mixed,miss_allpq,miss_low,miss_rnd
0,30,580000,1.000000,0.859317,0.590228,0.664693,0.217388,0.235609
30,60,600000,1.000000,0.498952,0.601098,0.894672,0.210313,0.231495
60,90,600000,1.000000,0.389115,0.577340,0.939020,0.197062,0.220443
90,120,600000,1.000000,0.336403,0.567292,0.955933,0.191540,0.216687
120,150,600000,1.000000,0.301168,0.559313,0.964595,0.185412,0.211315
150,180,600000,1.000000,0.277613,0.555088,0.969437,0.183443,0.208833
180,210,533590,1.000000,0.271724,0.554368,0.970951,0.178530,0.209005
210,240,18379,1.000000,0.484248,0.617607,0.955493,0.111595,0.233038
240,270,1597,1.000000,0.381340,0.565435,0.961177,0.060113,0.214778
270,300,581,1.000000,0.359725,0.657487,0.972461,0.029260,0.283993
300,-1,332,1.000000,0.376506,0.617470,0.960843,0.063253,0.189759
