step_lo,step_hi,predictions,sanity,win_pq,miss_mixed,miss_allpq,miss_low,miss_rnd
0,30,580000,1.000000,0.695953,0.437117,0.664686,0.146788,0.146105
30,60,600000,1.000000,0.390683,0.371238,0.894645,0.112615,0.112483
60,90,600000,1.000000,0.324475,0.347433,0.938905,0.101720,0.105060
90,120,600000,1.000000,0.289850,0.335042,0.955810,0.097090,0.101223
120,150,600000,1.000000,0.264657,0.323893,0.964398,0.091968,0.097277
150,180,600000,1.000000,0.247728,0.318075,0.969195,0.089748,0.095613
180,210,533590,1.000000,0.243646,0.317200,0.970704,0.086975,0.095455
210,240,18379,1.000000,0.392132,0.384461,0.954677,0.053757,0.114751
240,270,1597,1.000000,0.329994,0.346900,0.960551,0.023168,0.107076
270,300,581,1.000000,0.320138,0.383821,0.970740,0.020654,0.125645
300,-1,332,1.000000,0.331325,0.337349,0.960843,0.024096,0.087349
