step_lo,step_hi,rank,count
0,30,1,221299
0,30,2,90745
0,30,3,53590
0,30,4,34410
0,30,5,23897
0,30,6,17912
0,30,7,13716
0,30,8,11000
0,30,9,9357
0,30,10,7734
0,30,11,6765
0,30,12,6045
0,30,13,5401
0,30,14,4642
0,30,15,4236
0,30,16,3879
0,30,17,63985
0,30,18,1387
30,60,1,202682
30,60,2,104616
30,60,3,62248
30,60,4,36601
30,60,5,20987
30,60,6,12490
30,60,7,8276
30,60,8,5931
30,60,9,4765
30,60,10,4034
30,60,11,3662
30,60,12,3398
30,60,13,3156
30,60,14,2920
30,60,15,2678
30,60,16,2581
30,60,17,105812
30,60,18,13163
60,90,1,214953
60,90,2,117819
60,90,3,69758
60,90,4,38100
60,90,5,20170
60,90,6,10949
60,90,7,6238
60,90,8,3785
60,90,9,2628
60,90,10,2081
60,90,11,1711
60,90,12,1564
60,90,13,1457
60,90,14,1322
60,90,15,1315
60,90,16,1259
60,90,17,72588
60,90,18,32303
90,120,1,219645
90,120,2,124411
90,120,3,73788
90,120,4,39507
90,120,5,20494
90,120,6,10567
90,120,7,5642
90,120,8,3122
90,120,9,1997
90,120,10,1368
90,120,11,1122
90,120,12,1032
90,120,13,912
90,120,14,851
90,120,15,760
90,120,16,781
90,120,17,44827
90,120,18,49174
120,150,1,223582
120,150,2,130271
120,150,3,75520
120,150,4,39944
120,150,5,20171
120,150,6,10078
120,150,7,5238
120,150,8,2868
120,150,9,1769
120,150,10,1181
120,150,11,882
120,150,12,672
120,150,13,616
120,150,14,597
120,150,15,543
120,150,16,503
120,150,17,24300
120,150,18,61265
150,180,1,225188
150,180,2,134154
150,180,3,77401
150,180,4,40324
150,180,5,19972
150,180,6,9767
150,180,7,4885
150,180,8,2627
150,180,9,1514
150,180,10,926
150,180,11,740
150,180,12,565
150,180,13,507
150,180,14,478
150,180,15,444
150,180,16,415
150,180,17,10367
150,180,18,69726
180,210,1,200929
180,210,2,119910
180,210,3,69855
180,210,4,36267
180,210,5,17371
180,210,6,8397
180,210,7,4055
180,210,8,2097
180,210,9,1277
180,210,10,773
180,210,11,522
180,210,12,354
180,210,13,320
180,210,14,273
180,210,15,193
180,210,16,182
180,210,17,1163
180,210,18,69652
210,240,1,5935
210,240,2,3537
210,240,3,2078
210,240,4,1129
210,240,5,526
210,240,6,269
210,240,7,141
210,240,8,63
210,240,9,40
210,240,10,31
210,240,11,14
210,240,12,7
210,240,13,9
210,240,14,6
210,240,15,4
210,240,16,5
210,240,17,96
210,240,18,4489
240,270,1,586
240,270,2,323
240,270,3,158
240,270,4,110
240,270,5,62
240,270,6,16
240,270,7,10
240,270,8,4
240,270,9,3
240,270,10,8
240,270,11,1
240,270,12,5
240,270,13,4
240,270,15,4
240,270,17,21
240,270,18,282
270,300,1,155
270,300,2,138
270,300,3,96
270,300,4,42
270,300,5,12
270,300,6,8
270,300,7,9
270,300,11,1
270,300,12,2
270,300,13,1
270,300,15,2
270,300,17,11
270,300,18,104
300,-1,1,99
300,-1,2,94
300,-1,3,53
300,-1,4,15
300,-1,5,5
300,-1,6,3
300,-1,7,2
300,-1,8,2
300,-1,17,2
300,-1,18,57
