step_lo,step_hi,rank,count
0,30,1,326471
0,30,2,91811
0,30,3,37660
0,30,4,20188
0,30,5,13276
0,30,6,9540
0,30,7,7525
0,30,8,6138
0,30,9,5164
0,30,10,4498
0,30,11,3851
0,30,12,3448
0,30,13,2957
0,30,14,2606
0,30,15,2506
0,30,16,2232
0,30,17,39121
0,30,18,1008
30,60,1,377248
30,60,2,86529
30,60,3,22886
30,60,4,8131
30,60,5,4317
30,60,6,3145
30,60,7,2689
30,60,8,2380
30,60,9,2198
30,60,10,2095
30,60,11,1999
30,60,12,1967
30,60,13,1845
30,60,14,1789
30,60,15,1758
30,60,16,1721
30,60,17,68073
30,60,18,9230
60,90,1,391537
60,90,2,88771
60,90,3,21896
60,90,4,6127
60,90,5,2531
60,90,6,1658
60,90,7,1279
60,90,8,1158
60,90,9,1049
60,90,10,1104
60,90,11,1009
60,90,12,950
60,90,13,1005
60,90,14,937
60,90,15,933
60,90,16,950
60,90,17,53289
60,90,18,23817
90,120,1,398974
90,120,2,90797
90,120,3,21234
90,120,4,5659
90,120,5,1975
90,120,6,1094
90,120,7,844
90,120,8,743
90,120,9,678
90,120,10,628
90,120,11,632
90,120,12,602
90,120,13,647
90,120,14,630
90,120,15,583
90,120,16,575
90,120,17,35217
90,120,18,38488
120,150,1,405663
120,150,2,91848
120,150,3,20768
120,150,4,5116
120,150,5,1765
120,150,6,807
120,150,7,572
120,150,8,536
120,150,9,488
120,150,10,452
120,150,11,449
120,150,12,392
120,150,13,407
120,150,14,434
120,150,15,438
120,150,16,431
120,150,17,19624
120,150,18,49810
150,180,1,409153
150,180,2,92723
150,180,3,20435
150,180,4,4910
150,180,5,1535
150,180,6,681
150,180,7,470
150,180,8,411
150,180,9,341
150,180,10,341
150,180,11,371
150,180,12,300
150,180,13,367
150,180,14,350
150,180,15,337
150,180,16,314
150,180,17,8343
150,180,18,58618
180,210,1,364340
180,210,2,83150
180,210,3,18236
180,210,4,4164
180,210,5,1283
180,210,6,527
180,210,7,331
180,210,8,276
180,210,9,210
180,210,10,182
180,210,11,162
180,210,12,188
180,210,13,134
180,210,14,125
180,210,15,131
180,210,16,119
180,210,17,757
180,210,18,59275
210,240,1,11313
210,240,2,2762
210,240,3,652
210,240,4,149
210,240,5,49
210,240,6,30
210,240,7,13
210,240,8,6
210,240,9,6
210,240,10,9
210,240,11,10
210,240,12,2
210,240,13,4
210,240,14,3
210,240,15,1
210,240,16,2
210,240,17,65
210,240,18,3303
240,270,1,1043
240,270,2,218
240,270,3,55
240,270,4,15
240,270,5,6
240,270,6,3
240,270,7,1
240,270,8,2
240,270,9,3
240,270,10,3
240,270,12,1
240,270,13,2
240,270,14,2
240,270,17,16
240,270,18,227
270,300,1,358
270,300,2,92
270,300,3,17
270,300,4,10
270,300,5,2
270,300,6,2
270,300,7,1
270,300,9,1
270,300,15,1
270,300,17,8
270,300,18,89
300,-1,1,220
300,-1,2,57
300,-1,3,7
300,-1,4,2
300,-1,5,1
300,-1,17,2
300,-1,18,43
