step_lo,step_hi,predictions,sanity,win_pq,miss_mixed,miss_allpq,miss_low,miss_rnd
0,30,580000,1.000000,0.802021,0.539709,0.664691,0.190624,0.199634
30,60,600000,1.000000,0.457128,0.512115,0.894660,0.167675,0.176817
60,90,600000,1.000000,0.366468,0.486315,0.938968,0.154772,0.166857
90,120,600000,1.000000,0.321103,0.474448,0.955873,0.149532,0.162878
120,150,600000,1.000000,0.289608,0.464400,0.964508,0.143818,0.157975
150,180,600000,1.000000,0.268403,0.458970,0.969315,0.141207,0.155785
180,210,533590,1.000000,0.263611,0.458551,0.970837,0.137229,0.155910
210,240,18379,1.000000,0.453180,0.529953,0.955275,0.084662,0.178737
240,270,1597,1.000000,0.365059,0.476518,0.960551,0.040075,0.165936
270,300,581,1.000000,0.344234,0.526678,0.970740,0.024096,0.197935
300,-1,332,1.000000,0.358434,0.493976,0.960843,0.045181,0.144578
