,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-04-12,13:04:45.427,   89.44,  778.59,   20.28,  402.99,   20.59,  403.04,   23.87,  406.39,  154.18, 1991.01,    129004, 2145.19,    4.92,    1.31,    3.06,    0.66,    3.01,    0.63,    3.28,    0.89,   14.26,    3.49,      9604,   17.75,    168.45,   1994.49,   2162.94
2026-04-12,13:04:46.427,  300.08,  848.85,   87.64,  273.64,   87.94,  273.71,   91.10,  277.00,  566.76, 1673.20,    130403, 2239.96,   10.60,    3.84,    6.75,    2.53,    6.55,    2.53,    6.91,    2.87,   30.81,   11.77,     12353,   42.58,    597.57,   1684.96,   2282.54
2026-04-12,13:04:47.428,  358.30,  603.31,  120.57,  211.60,  120.68,  211.63,  124.03,  214.97,  723.58, 1241.52,    131212, 1965.10,    3.95,    1.06,    2.66,    0.50,    2.65,    0.50,    2.90,    0.74,   12.16,    2.80,      8760,   14.96,    735.74,   1244.32,   1980.06
2026-04-12,13:04:48.427,  577.73,  834.92,  191.01,  307.87,  191.11,  307.89,  194.44,  311.24, 1154.29, 1761.92,    132704, 2916.22,    3.76,    0.68,    2.50,    0.25,    2.46,    0.24,    2.66,    0.42,   11.38,    1.60,      6696,   12.98,   1165.68,   1763.52,   2929.19
2026-04-12,13:04:49.427,   87.33,  214.29,   42.23,  147.23,   42.31,  147.27,   45.68,  150.60,  217.55,  659.39,    128967,  876.94,    3.39,    0.37,    2.60,    0.23,    2.55,    0.23,    2.60,    0.24,   11.14,    1.07,       235,   12.21,    228.69,    660.46,    889.15
2026-04-12,13:04:50.428,  216.59,  493.48,  160.07,  390.23,  160.15,  390.23,  163.51,  393.62,  700.32, 1667.56,    129970, 2367.88,    3.64,    0.59,    2.43,    0.28,    2.39,    0.28,    2.50,    0.36,   10.95,    1.51,      2874,   12.46,    711.28,   1669.07,   2380.35
2026-04-12,13:04:51.428,  720.07,  805.10,  303.53,  361.49,  303.68,  361.51,  307.07,  364.84, 1634.34, 1892.93,    133981, 3527.27,    4.39,    0.95,    3.38,    0.61,    3.35,    0.61,    3.44,    0.68,   14.57,    2.85,      2475,   17.41,   1648.91,   1895.77,   3544.68
2026-04-12,13:04:52.428,   80.43,  262.83,   44.49,  130.38,   44.69,  130.40,   48.08,  133.73,  217.70,  657.34,    128956,  875.04,    2.84,    0.44,    2.14,    0.30,    2.10,    0.29,    2.15,    0.32,    9.24,    1.34,       571,   10.57,    226.93,    658.68,    885.61
2026-04-12,13:04:53.428,   79.72,  206.73,   45.24,  147.72,   45.45,  147.73,   48.84,  151.10,  219.25,  653.29,    128911,  872.53,    3.64,    0.66,    2.86,    0.47,    2.81,    0.46,    2.85,    0.48,   12.15,    2.07,       200,   14.22,    231.40,    655.35,    886.75
