,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2026-04-12,19:35:00.520, 9206.09,  355.58, 2630.25,  103.08, 2623.66,  101.52, 2623.26,   97.97,17083.25,  658.15,    132585,17741.40, 2635.92,  244.65, 2620.17,  242.35, 2626.29,  240.63, 2621.31,  237.37,10503.69,  965.00,    133676,11468.69,  27586.94,   1623.15,  29210.09
2026-04-12,19:35:01.520, 7783.45,  315.10, 2189.64,   89.51, 2183.98,   88.21, 2183.14,   85.09,14340.21,  577.90,    112394,14918.11, 2204.77,  245.62, 2184.99,  239.66, 2190.21,  237.98, 2184.80,  234.87, 8764.76,  958.14,    129666, 9722.90,  23104.97,   1536.03,  24641.01
2026-04-12,19:35:02.520, 6726.49,  321.90, 1894.83,   94.38, 1894.26,   93.14, 1893.08,   90.05,12408.67,  599.46,    110795,13008.13, 1986.80,  201.68, 1966.18,  196.81, 1968.93,  194.71, 1964.41,  191.98, 7886.32,  785.18,    131994, 8671.51,  20294.99,   1384.64,  21679.64
2026-04-12,19:35:03.520, 8784.77,  397.23, 2499.83,  115.82, 2501.30,  114.43, 2500.21,  110.68,16286.10,  738.15,    132240,17024.26, 2656.68,  241.67, 2632.61,  238.51, 2636.00,  236.66, 2630.99,  233.64,10556.28,  950.49,    133837,11506.76,  26842.38,   1688.64,  28531.02
2026-04-12,19:35:04.520, 8531.14,  484.84, 2541.30,  146.13, 2559.49,  146.29, 2547.76,  141.00,16179.69,  918.26,    132767,17097.94, 2809.64,  243.84, 2746.85,  232.80, 2754.23,  231.93, 2747.19,  227.99,11057.92,  936.57,    134503,11994.48,  27237.61,   1854.82,  29092.43
2026-04-12,19:35:05.520, 8660.33,  482.21, 2662.75,  146.06, 2666.92,  144.60, 2664.77,  140.72,16654.77,  913.60,    132874,17568.37, 2976.94,  234.35, 2956.89,  231.85, 2960.51,  230.09, 2959.87,  226.92,11854.20,  923.21,    135150,12777.41,  28508.97,   1836.81,  30345.78
2026-04-12,19:35:06.520, 8702.15,  497.18, 2671.91,  150.29, 2674.50,  148.90, 2673.90,  145.00,16722.46,  941.37,    133004,17663.84, 2983.27,  236.73, 2965.33,  234.52, 2966.95,  232.47, 2966.32,  229.35,11881.88,  933.08,    134810,12814.96,  28604.34,   1874.46,  30478.79
2026-04-12,19:35:07.520, 8672.03,  509.83, 2646.88,  153.88, 2649.76,  152.43, 2648.09,  148.64,16616.75,  964.78,    132948,17581.53, 2958.78,  240.23, 2939.28,  237.81, 2941.85,  236.02, 2940.64,  232.88,11780.54,  946.93,    135065,12727.47,  28397.29,   1911.71,  30309.00
2026-04-12,19:35:08.519, 8905.15,  524.85, 2771.76,  167.17, 2774.89,  165.50, 2772.87,  161.85,17224.67, 1019.37,    133322,18244.04, 3060.48,  239.80, 3033.76,  237.33, 3033.92,  235.51, 3033.46,  232.18,12161.61,  944.82,    135506,13106.43,  29386.27,   1964.19,  31350.46
2026-04-12,19:35:09.519, 8781.07,  531.55, 2802.75,  173.09, 2806.91,  171.58, 2804.89,  167.78,17195.62, 1043.99,    133557,18239.61, 3026.72,  237.90, 3008.94,  235.70, 3008.26,  233.95, 3007.85,  230.69,12051.78,  938.23,    135273,12990.01,  29247.39,   1982.23,  31229.62
2026-04-12,19:35:10.519, 8322.99,  519.91, 2678.60,  169.25, 2681.77,  167.87, 2679.09,  164.19,16362.45, 1021.22,    133147,17383.66, 2900.59,  239.25, 2882.40,  236.86, 2881.93,  235.10, 2880.43,  231.70,11545.34,  942.91,    134639,12488.25,  27907.79,   1964.13,  29871.92
2026-04-12,19:35:11.519, 8351.05,  483.88, 2734.25,  166.79, 2737.35,  165.32, 2734.22,  161.65,16556.88,  977.65,    133355,17534.53, 2962.90,  262.18, 2943.39,  259.33, 2943.03,  257.75, 2941.50,  254.23,11790.82, 1033.48,    135102,12824.30,  28347.70,   2011.13,  30358.83
2026-04-12,19:35:12.519, 8477.86,  583.96, 2917.68,  224.88, 2929.49,  224.28, 2922.86,  219.82,17247.89, 1252.94,    134170,18500.83, 3031.62,  218.86, 2987.93,  210.99, 2989.82,  210.07, 2983.92,  206.17,11993.29,  846.09,    135209,12839.38,  29241.18,   2099.03,  31340.20
2026-04-12,19:35:13.519, 8026.82,  569.04, 3068.68,  224.35, 3079.71,  223.35, 3076.40,  219.17,17251.62, 1235.91,    134532,18487.53, 3061.40,  174.35, 3035.39,  171.60, 3036.91,  170.28, 3029.06,  166.39,12162.77,  682.62,    135240,12845.39,  29414.39,   1918.53,  31332.92
2026-04-12,19:35:14.519, 8034.13,  546.26, 3056.41,  216.65, 3063.48,  215.30, 3062.24,  211.40,17216.26, 1189.61,    134467,18405.87, 3038.58,  166.32, 3022.27,  165.69, 3021.77,  163.91, 3016.57,  160.64,12099.20,  656.56,    135109,12755.76,  29315.46,   1846.17,  31161.62
2026-04-12,19:35:15.520, 8087.76,  572.88, 3065.91,  226.94, 3073.60,  225.62, 3072.18,  221.83,17299.45, 1247.28,    134571,18546.73, 3044.15,  177.76, 3028.23,  177.31, 3028.07,  175.49, 3023.18,  172.07,12123.62,  702.63,    135164,12826.25,  29423.07,   1949.91,  31372.98
2026-04-12,19:35:16.520, 8030.60,  559.01, 3024.11,  220.29, 3031.18,  218.93, 3029.67,  215.15,17115.56, 1213.39,    134303,18328.95, 3014.36,  176.92, 2998.80,  176.57, 2997.87,  174.78, 2992.81,  171.52,12003.84,  699.80,    134740,12703.64,  29119.41,   1913.18,  31032.59
2026-04-12,19:35:17.521, 8269.69,  619.49, 3110.80,  242.35, 3118.40,  240.69, 3116.78,  237.11,17615.67, 1339.65,    134676,18955.32, 3120.62,  197.42, 3104.17,  196.78, 3103.45,  194.85, 3098.83,  191.68,12427.07,  780.73,    135637,13207.80,  30042.74,   2120.38,  32163.12
2026-04-12,19:35:18.521, 8065.84,  612.03, 3089.69,  244.69, 3098.28,  243.43, 3095.33,  239.50,17349.14, 1339.65,    134467,18688.79, 3085.73,  197.30, 3069.15,  196.75, 3069.42,  194.86, 3063.30,  191.33,12287.60,  780.23,    135227,13067.83,  29636.74,   2119.88,  31756.62
2026-04-12,19:35:19.521, 8096.55,  572.67, 3148.00,  231.71, 3155.05,  230.19, 3153.21,  226.53,17552.80, 1261.11,    134939,18813.91, 3098.74,  187.35, 3082.98,  187.10, 3082.93,  185.38, 3077.13,  181.93,12341.77,  741.75,    135418,13083.52,  29894.57,   2002.86,  31897.43
2026-04-12,19:35:20.521, 7913.69,  543.56, 3122.45,  228.99, 3127.64,  227.78, 3126.28,  224.00,17290.06, 1224.34,    134538,18514.39, 3025.94,  179.10, 3009.34,  178.55, 3009.59,  177.07, 3004.42,  173.44,12049.28,  708.16,    134921,12757.45,  29339.34,   1932.50,  31271.84
2026-04-12,19:35:21.522, 7697.72,  563.36, 3114.13,  246.17, 3126.40,  245.20, 3121.38,  241.05,17059.62, 1295.77,    134865,18355.40, 3025.23,  176.72, 2979.53,  169.42, 2981.74,  168.19, 2972.95,  164.16,11959.45,  678.48,    135105,12637.93,  29019.08,   1974.26,  30993.33
2026-04-12,19:35:22.522, 7454.72,  584.07, 3156.29,  251.01, 3163.95,  249.81, 3160.37,  246.03,16935.33, 1330.92,    135114,18266.25, 3120.52,  177.32, 3096.11,  174.20, 3098.81,  172.70, 3092.50,  169.03,12407.95,  693.26,    135225,13101.20,  29343.28,   2024.17,  31367.45
2026-04-12,19:35:23.523, 4444.63,  364.25, 1862.38,  157.28, 1865.47,  156.11, 1862.76,  153.45,10035.24,  831.09,     91180,10866.33, 1822.99,  155.15, 1803.77,  149.95, 1803.09,  147.91, 1799.55,  145.01, 7229.41,  598.02,    124322, 7827.42,  17264.65,   1429.11,  18693.75
2026-04-12,19:35:24.523, 6796.23,  518.77, 2863.28,  225.14, 2865.75,  223.59, 2863.22,  220.15,15388.48, 1187.65,    133791,16576.12, 2887.42,  168.03, 2866.28,  165.83, 2867.41,  163.95, 2863.55,  160.71,11484.66,  658.52,    134376,12143.18,  26873.13,   1846.17,  28719.30
2026-04-12,19:35:25.524, 7623.65,  578.59, 3209.98,  248.44, 3211.90,  246.74, 3210.48,  243.27,17256.01, 1317.04,    135273,18573.04, 3225.01,  185.02, 3206.89,  184.49, 3208.69,  182.68, 3203.73,  179.32,12844.32,  731.51,    135672,13575.83,  30100.32,   2048.54,  32148.87
2026-04-12,19:35:26.524, 7556.97,  572.07, 3172.78,  246.11, 3174.39,  244.22, 3172.87,  240.95,17077.00, 1303.35,    134704,18380.35, 3193.02,  181.79, 3175.77,  181.49, 3177.21,  179.68, 3171.63,  176.27,12717.63,  719.24,    135484,13436.87,  29794.63,   2022.59,  31817.22
2026-04-12,19:35:27.525, 7558.97,  566.31, 3177.84,  242.81, 3179.06,  240.89, 3177.31,  237.64,17093.18, 1287.64,    134934,18380.82, 3212.04,  178.37, 3193.19,  177.83, 3193.83,  176.27, 3189.30,  172.94,12788.36,  705.41,    135681,13493.77,  29881.54,   1993.05,  31874.59
2026-04-12,19:35:28.525, 7489.62,  511.19, 3133.76,  226.90, 3134.95,  225.49, 3133.23,  222.15,16891.55, 1185.73,    134611,18077.28, 3219.18,  210.82, 3202.22,  210.70, 3203.00,  208.81, 3198.43,  205.34,12822.84,  835.67,    135514,13658.50,  29714.39,   2021.39,  31735.79
2026-04-12,19:35:29.526, 7260.67,  489.31, 3057.97,  222.62, 3058.49,  221.05, 3057.34,  217.69,16434.47, 1150.68,    134525,17585.14, 3147.36,  219.35, 3131.06,  219.14, 3131.29,  217.06, 3126.35,  213.90,12536.07,  869.44,    135381,13405.51,  28970.54,   2020.12,  30990.65
